Filename,text,scores,Category
Test100.jpg,,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",Random
Test1001.jpg,abe i i 3 iy a i,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Random
Test1012.jpg,ete eek IN THE CL,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Random
Test1022.jpg,LOVE,"{'neg': 0.0, 'neu': 0.169, 'pos': 0.831, 'compound': 0.7125}",Positive
Test103.jpg,Coad 1 oO,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Random
Test105.jpg,oe 7,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Random
Test107.jpg,lesbianvenom straighteners aren t worth ur money i ve been using one for three weeks and i m still definitely a lesbian in all my 20 years of living this has been by far my best joke ever,"{'neg': 0.04, 'neu': 0.742, 'pos': 0.218, 'compound': 0.8143}",Positive
Test1071.jpg,ees MU WATER OL em esiemelicctc aims ie not living by society s standards but deep down they wish they had the well reecem Cee emis it os te Being Gay Proud Quotes a www geckoandfly com i FU,"{'neg': 0.147, 'neu': 0.654, 'pos': 0.199, 'compound': 0.178}",Positive
Test108.jpg,ened co or wan the cutoome of the perception and stitutes of the suihence toward The mann teheved at pemneayal of he LOST communty w Indian ever was ment rpane eRe Oe Lame Setres minees ws pmseee an pon me Poem ctaegh che nequawe peteny 4 te LOT themes tah mms we panes at te empememen fut have heen mute sen nbewtalpe etoming hee ateace oh gates cf the parmcopunm tes eax threw oh 1s che we of the Bem Accurate portray aie greene Generals I wed may they the portray gud See me LCT emrtes are gen ord some are fst tmemos mgy mae for me pas for merriment the ces mae with er aad bt wt ys be goad DV a bald meme and wh 0 s W s great becouse the mumbber of LGBT memes which really have LGBT theme and claw hae scm salbstame tn thom ane very tes and oem thems they are ews lh they are goed The coment theme seers te the accunte porwayal of the LOBT community tn movies Some Partcipuans ated thas efforts of muvies to mube Ge actual depiction of the LOBT Ide was FoywE At became try wewe emp wp w Dw ccmmees and posway al Mam curate partes Ladian me Dm hing ee nam mens they are a a 8 verte Men ae thy ene oe rw whet LGBTQ mee tn thes Karma film she W be Big tat oman tat sary she is that gy Bs tie me fa the ths that Whe you ve bowing He that other irk al of wie she goes aay ad ieny mse ike within sects yom the at pay Hw is that eve pete,"{'neg': 0.024, 'neu': 0.943, 'pos': 0.033, 'compound': 0.5613}",Positive
Test109.jpg,,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",Random
Test1122.jpg,erghet wate of Wate Peay Vere GET Athietes are Clason ther Righttad Place ta Spurts defird the tcien that sports are intberemthy Reema ter Part d what w beeyent gay atirten baetent Zenuby can the Dyprs Metermeyinm thet euiats in hekey meme Negative tall abet 1 prep ea the me Heatran 8 6 the demaraning tall stent ween,"{'neg': 0.065, 'neu': 0.935, 'pos': 0.0, 'compound': -0.6114}",Negative
Test113.jpg,,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",Random
Test114.jpg,,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",Random
Test1161.jpg,,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",Random
Test117.jpg,,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",Random
Test119.jpg,eee Verizon LTE 10 47 AM uUxXED x 168 apologize for anything negative I ve said towards gays and for that matter anyone was young ignorant stupid and in a bad place I ve moved on and learned from my mistakes and am so truly sorry to anyone have offended have nothing against anyone or anything that promotes equality Sorry again,"{'neg': 0.252, 'neu': 0.64, 'pos': 0.108, 'compound': -0.8869}",Negative
Test1199.jpg,Do realize what you when you sa ere so gay The way gay is used now a days has a negative connotation Which it should not means brightly colored happy and or homosexval ANNOYING STUPID FOOLISH PATHETIC LUDICROUS eee cuRious,"{'neg': 0.395, 'neu': 0.507, 'pos': 0.098, 'compound': -0.9594}",Negative
Test122.jpg,,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",Random
